s2_q3_baseline,s3_q6_a_7_baseline,s3_q6_a_9_baseline,s3_q6_9_baseline,forecast_ability_baseline,s6f_q4_baseline,s7_q16_baseline,inside_total_hrs_baseline,work_total_hrs_baseline,s9_q4_field_count_baseline,dem_q2_baseline,dem_q3_baseline,dem_q5_baseline,yrs_educ_formal_baseline,dem_q8_baseline,own_house_baseline,asset_index_baseline,dem_q31_baseline,dem_q32_baseline,tehsil_n_baseline,epd_treatment_baseline,s7_q2_baseline_r,dem_q14_baseline,dem_q22_baseline,dem_q24_baseline,dem_q25_baseline,dem_q30_baseline,pref_baseline,pref_endline,wtp_paqi,wtp_epd,wtp_dif
23,0,1,1,0.24757711589336395,90,1,9.5,14.5,1,7,0,1,16,2,1,-0.06621140241622925,Earnings from trade,2,0,0,2,1,0,1,2,4,1,1,380,330,50
25,0,0,0,0.226431742310524,90,2,14,13,1,15,1,1,10,3,1,0.685176432132721,Earnings from trade,3,0,0,2,1,0,1,1,6,1,1,220,180,40
45,0,0,0,0.1434108465909958,95,1,23,0,0,5,0,0,9,1,0,-0.8175992965698242,Private job with self-employment,3,0,0,2,0,0,1,2,2,1,1,250,250,0
21,0,0,0,0.1705426424741745,80,1,22,13,1,7,1,1,3,2,1,-0.8175992965698242,Daily labour,4,0,1,2,1,0,0,2,2,0,0,210,240,-30
40,0,0,0,0.226431742310524,100,1,16,6,0,1,0,1,10,2,1,-1.5689871311187744,Earnings from trade,4,0,0,3,0,0,1,4,4,1,1,300,300,0
52,0,0,0,0.1627907007932663,90,1,16,8,0,6,0,0,10,2,1,-1.5689871311187744,Earnings from trade,3,0,1,1,0,0,2,2,3,1,0,300,300,0
25,0,0,0,0.2687225043773651,90,2,14,9.5,0,3,0,0,12,1,1,-2.3203749656677246,Private job with a salary,5,0,0,4,0,0,1,2,2,1,1,200,200,0
28,0,0,0,0.2856387794017792,80,1,22.5,13.5,2,2,1,0,3,1,1,0.685176432132721,Daily labour,3,0,1,2,1,0,1,1,2,0,0,200,240,-40
45,0,0,0,0.099559485912323,70,4,12,0,0,9,1,1,0,1,1,-0.8175992965698242,Earnings from trade,3,0,1,4,1,0,2,2,4,0,0,310,350,-40
30,0,1,1,0.1627907007932663,90,1,23,13,0,6,1,1,10,1,1,-0.06621140241622925,Earnings from trade,2,0,1,4,1,1,1,2,3,0,0,250,250,0
45,0,1,1,0.18414099514484406,80,1,13.5,13.5,1,5,0,1,0,1,0,0.685176432132721,Daily labour,3,0,0,2,1,0,1,2,3,0,1,280,250,30
52,0,0,0,0.2898678779602051,100,1,22,11,1,6,0,1,10,1,1,-0.8175992965698242,Earnings from trade,3,0,0,3,1,0,1,2,4,1,1,300,250,50
45,0,0,0,0.226431742310524,90,1,24,14,1,6,1,0,2,1,1,-0.06621140241622925,Earnings from trade,3,0,0,3,1,0,0,1,2,0,1,300,260,40
32,0,0,0,0.027131782844662666,60,2,12,14,0,7,1,1,5,2,1,0.685176432132721,Earnings from trade,3,0,0,1,1,0,1,1,4,1,1,250,200,50
21,0,0,0,0.1627907007932663,70,1,14,11,1,4,0,1,12,1,0,0.685176432132721,Private job with a salary,3,0,1,4,1,0,1,1,2,0,0,250,280,-30
32,0,0,0,0.1434108465909958,100,1,15.5,8,0,13,1,1,10,4,0,-1.5689871311187744,Earnings from trade,2,0,1,5,0,0,2,8,6,1,0,50,50,0
45,0,0,0,0.2687225043773651,100,1,14.5,9,0,4,1,1,3,1,0,-0.06621140241622925,Earnings from industry,4,0,1,1,1,0,1,2,2,1,0,50,50,0
40,0,0,0,0.18414099514484406,80,1,21,13,2,7,0,1,3,1,1,-0.06621140241622925,Daily labour,3,0,0,3,1,0,1,2,3,0,1,270,250,20
38,0,0,0,0.05726873502135277,70,4,15,2,1,13,0,1,0,5,1,-0.06621140241622925,Daily labour,3,0,1,4,1,0,2,3,5,0,0,300,325,-25
30,0,0,0,0.1627907007932663,90,1,14.5,7,0,8,0,0,16,1,1,-0.8175992965698242,Private job with a salary,3,0,0,2,0,0,1,2,2,1,1,150,150,0
24,0,0,1,0.332158625125885,100,1,23,12,0,9,0,0,0,2,0,-0.06621140241622925,Daily labour,3,0,0,3,1,0,1,2,5,1,1,350,350,0
43,0,0,0,0.25180619955062866,95,1,15,8.5,0,11,0,0,16,2,1,-0.8175992965698242,Private job with self-employment,4,0,0,3,1,0,1,2,2,0,1,350,350,0
36,0,0,0,0.1627907007932663,85,1,22,15,2,5,0,1,3,1,1,-0.8175992965698242,Private job with a salary,3,0,1,2,1,0,0,1,3,0,0,250,290,-40
50,0,0,0,0.12403100728988647,70,2,13,15,1,6,0,1,0,1,1,-1.5689871311187744,Daily labour,3,0,0,4,1,0,0,2,3,0,1,345,230,115
45,0,0,0,0.1434108465909958,90,1,15,8,0,8,0,0,10,1,0,-0.06621140241622925,Daily labour,3,0,1,3,1,0,1,2,2,1,0,250,250,0
50,0,0,1,0.2687225043773651,90,2,14,10,0,8,0,0,0,1,1,0.685176432132721,Daily labour,3,0,1,2,1,0,1,2,5,1,0,300,300,0
56,0,0,0,0.12403100728988647,80,4,14,13,1,3,0,0,8,1,1,-0.06621140241622925,Earnings from trade,3,0,0,4,1,0,1,2,2,0,1,270,250,20
22,0,0,0,0.10465116053819656,90,1,14,8.5,0,8,0,0,9,1,1,-0.8175992965698242,Private job with self-employment,3,0,1,1,1,0,2,2,2,1,0,100,100,0
19,0,0,0,0.1666666716337204,90,2,16,10,1,10,0,1,6,3,0,-0.8175992965698242,Daily labour,4,0,0,4,1,0,1,3,2,0,1,300,285,15
40,0,0,0,0.1472868174314499,100,2,12.5,9,1,5,0,1,16,1,1,-0.8175992965698242,Private job with self-employment,2,0,1,5,0,0,1,2,3,1,0,200,200,0
36,0,0,0,0.226431742310524,90,4,12,7,2,5,0,1,10,1,1,0.685176432132721,Earnings from trade,3,0,0,4,1,1,1,2,2,0,1,322,290,32
32,0,0,0,1.563580870628357,80,2,13,14,0,9,1,1,8,2,1,1.436564326286316,Daily labour,3,0,1,2,1,0,1,2,4,0,0,250,330,-80
31,0,1,1,0.1627907007932663,70,2,14,10.5,1,10,1,1,0,2,1,-0.8175992965698242,Daily labour,3,0,1,2,1,0,2,3,5,1,0,300,300,0
40,0,0,0,0.20155039429664612,96,1,13.5,8.5,0,6,0,0,6,1,0,0.685176432132721,Private job with self-employment,4,0,0,2,1,0,1,2,3,1,1,300,300,0
44,0,0,0,0.08527132123708725,80,2,21,14,1,6,0,1,6,1,1,-0.8175992965698242,Earnings from trade,3,0,1,2,1,0,0,2,3,1,0,250,300,-50
40,0,0,0,0.20528636872768402,85,1,22.5,14.5,2,6,1,1,8,1,1,-0.06621140241622925,Daily labour,3,0,1,2,1,0,0,1,3,0,0,210,275,-65
32,0,0,0,0.1434108465909958,100,1,13,9,0,11,1,1,10,2,1,-0.8175992965698242,Daily labour,2,0,1,1,0,0,1,4,4,1,0,100,100,0
37,0,0,0,0.27295157313346863,90,1,23,14,2,4,0,1,8,1,1,-0.06621140241622925,Daily labour,3,0,1,4,1,0,1,2,3,0,0,220,260,-40
25,0,0,1,0.11240310221910477,95,1,21.5,12,1,8,0,0,16,2,1,-0.06621140241622925,Private job with a salary,3,0,1,4,1,0,1,2,3,0,0,280,310,-30
26,0,0,0,1.4008138179779053,90,2,12,12,0,11,1,1,9,2,1,0.685176432132721,Private job with self-employment,4,0,0,3,1,0,1,1,1,1,1,350,350,0
24,0,0,0,1.3601220846176147,85,1,19.5,12.5,2,8,0,0,2,3,0,-0.06621140241622925,Private job with a salary,3,0,1,2,1,0,1,3,3,0,0,270,310,-40
36,0,0,0,1.3194303512573242,80,1,11,11.5,0,6,1,1,16,1,1,1.436564326286316,Private job with self-employment,4,0,0,4,1,0,1,1,1,1,1,300,300,0
47,0,0,0,0.18414099514484406,75,1,12,13,1,5,0,1,5,1,1,-0.8175992965698242,Daily labour,3,0,0,4,1,0,1,2,3,0,1,320,250,70
50,1,0,0,1.197355031967163,80,1,22.5,10.5,0,6,0,0,10,1,1,-0.06621140241622925,Daily labour,3,0,0,3,1,0,1,2,3,0,1,250,250,0
42,0,0,0,1.3601220846176147,90,2,13.5,10,0,6,1,0,10,1,1,-0.8175992965698242,Earnings from trade,4,0,1,2,1,0,2,3,4,1,0,300,300,0
35,0,0,0,1.408952236175537,100,1,14.5,8,0,5,0,1,0,1,1,-0.8175992965698242,Earnings from trade,4,0,0,1,0,0,1,2,3,1,1,100,100,0
74,0,1,1,1.509536623954773,80,4,22,12,0,12,0,1,0,3,1,-0.8175992965698242,Earnings from trade,3,0,1,4,1,0,2,2,5,0,0,150,200,-50
26,0,0,0,0.12403100728988647,90,2,22,12,1,6,1,1,12,1,1,1.436564326286316,Current government job,1,0,1,1,1,1,1,2,3,0,0,200,200,0
45,0,0,0,1.197355031967163,70,1,10,13.5,0,5,0,1,0,1,1,-0.06621140241622925,Earnings from trade,3,0,0,3,1,0,1,2,3,1,1,250,250,0
32,0,0,0,0.1627907007932663,70,1,15,11,1,4,1,1,12,1,1,-0.06621140241622925,Earnings from trade,3,0,0,4,1,0,1,2,4,0,1,295,245,50
43,0,0,0,1.4008138179779053,80,1,12.333333969116211,9.333333015441895,0,7,0,1,0,2,1,-0.8175992965698242,Earnings from trade,4,0,1,1,0,0,1,4,3,1,0,50,50,0
45,0,0,0,0.1627907007932663,80,2,14.5,8,0,6,0,0,6,1,1,0.685176432132721,Private job with self-employment,4,0,0,3,1,0,1,2,1,1,1,250,250,0
42,0,1,1,0.12070485949516296,60,2,12.5,12.5,1,5,0,0,0,3,1,-0.8175992965698242,Daily labour,3,0,0,3,0,0,0,1,3,1,1,250,220,30
33,0,0,0,0.03100775182247162,50,1,12.5,9,0,6,1,1,10,1,1,-0.8175992965698242,Daily labour,3,0,1,1,0,0,1,2,3,1,0,100,100,0
24,0,0,0,1.2787384986877441,70,2,14,13,1,4,0,0,10,2,0,-0.06621140241622925,Daily labour,3,0,1,4,1,0,1,2,2,0,0,300,350,-50
34,0,0,0,0.18414099514484406,70,4,13,4,1,6,1,1,8,1,1,-0.06621140241622925,Earnings from trade,3,0,0,4,0,0,1,1,2,0,1,280,250,30
40,0,0,0,1.4415055513381958,100,1,11.5,8,0,6,0,1,0,1,1,-0.8175992965698242,Earnings from trade,5,0,0,1,0,0,0,2,3,1,0,300,300,0
29,0,1,1,0.12403100728988647,95,1,23,10.5,1,4,0,1,16,1,1,2.1879522800445557,Daily labour,2,0,0,3,1,1,1,2,3,0,1,200,200,0
35,0,1,1,1.2787384986877441,60,1,13,13,0,7,1,1,0,1,1,-1.5689871311187744,Daily labour,3,0,0,1,1,0,2,2,6,1,1,300,250,50
39,0,0,0,1.5228891372680664,80,1,13.5,9.5,0,2,1,0,5,1,1,0.685176432132721,Private job with a salary,3,0,1,1,0,0,1,1,1,1,0,250,250,0
42,0,0,0,0.1627907007932663,90,1,14,14,0,6,0,1,10,1,1,-0.06621140241622925,Earnings from trade,3,0,0,1,1,0,0,1,4,0,1,250,220,30
52,0,0,0,0.1434108465909958,90,1,18,13,1,8,0,1,8,1,1,-0.8175992965698242,Earnings from trade,3,0,1,3,1,0,1,2,4,0,0,320,350,-30
25,0,0,0,1.4008138179779053,99,1,23.5,10.5,1,6,0,1,16,2,1,2.1879522800445557,Private job with a salary,2,0,1,5,1,1,1,3,3,1,0,300,300,0
35,0,0,1,1.3357070684432983,80,2,19.5,12,2,9,1,1,5,2,1,-0.06621140241622925,Daily labour,3,0,1,3,1,0,1,2,3,0,0,210,260,-50
42,0,0,0,1.534059762954712,90,1,13,14,0,4,0,1,10,1,1,-0.06621140241622925,Earnings from trade,3,0,0,1,0,0,1,2,4,1,1,330,300,30
35,0,0,0,1.5228891372680664,80,2,22.5,10,1,7,0,1,12,1,1,2.1879522800445557,Current government job,2,0,0,4,1,1,1,2,3,1,1,300,300,0
35,0,0,0,1.4768390655517578,80,2,11,15,1,6,0,1,12,2,1,-0.8175992965698242,Earnings from trade,4,0,1,3,1,0,1,2,3,0,0,260,285,-25
19,0,0,0,1.4931879043579102,85,1,20,14.5,1,4,0,0,10,1,0,0.685176432132721,Daily labour,4,0,0,3,1,0,1,2,3,0,1,240,200,40
33,0,1,1,1.4415055513381958,95,2,23,10.5,1,8,0,1,10,2,1,-0.06621140241622925,Current government job,2,0,1,3,1,1,2,3,4,0,0,300,300,0
28,0,0,0,0.226431742310524,85,2,21,15,2,6,1,1,8,1,1,-0.06621140241622925,Daily labour,3,0,0,4,1,0,1,2,3,0,1,280,240,40
50,0,0,0,0.10465116053819656,80,2,13,13,0,7,0,1,0,1,1,1.436564326286316,Daily labour,3,0,0,2,1,0,1,1,3,0,1,200,180,20
45,0,0,0,1.3601220846176147,85,2,14.5,8.5,0,6,0,1,12,1,1,0.685176432132721,Daily labour,2,0,1,3,1,0,1,2,2,1,0,200,200,0
67,0,0,0,1.4008138179779053,90,1,20,1,0,9,1,1,16,1,1,1.436564326286316,Pension - Government,3,0,0,2,1,0,2,3,3,1,1,350,350,0
40,0,0,0,0.22220267355442047,90,1,22,13.5,1,3,0,0,2,1,1,-0.06621140241622925,Daily labour,3,0,1,3,1,0,1,2,3,0,0,180,210,-30
30,0,0,0,1.4415055513381958,100,1,15.833333969116211,8.333333969116211,0,4,0,1,5,1,1,-0.06621140241622925,Daily labour,4,0,1,3,1,0,1,3,2,1,0,200,200,0
40,0,0,0,1.4252288341522217,100,1,12.5,8,0,5,0,1,18,1,1,-0.8175992965698242,Earnings from trade,3,0,1,2,0,0,1,2,3,1,0,300,300,0
38,0,0,0,1.4008138179779053,80,2,13,13,1,4,0,1,10,1,1,-0.06621140241622925,Daily labour,3,0,0,4,1,0,1,2,2,0,1,355,315,40
55,0,0,0,0.007751937955617905,80,2,22,12,0,10,0,1,8,2,1,-0.06621140241622925,Earnings from trade,3,0,1,4,1,0,2,3,4,0,0,200,200,0
45,0,0,0,1.3705720901489258,90,1,23,15,1,6,0,1,8,1,1,-0.06621140241622925,Private job with a salary,3,0,1,1,1,0,1,2,2,0,0,210,250,-40
45,0,0,0,1.4008138179779053,100,1,12,9,0,5,0,1,16,1,1,-0.8175992965698242,Current government job,3,0,1,2,0,0,1,2,3,1,0,100,100,0
70,0,0,0,1.4415055513381958,90,1,20,9,1,10,1,1,12,3,1,-0.06621140241622925,Earnings from trade,3,0,1,4,1,0,1,2,3,0,0,300,335,-35
24,0,0,0,1.4114439487457275,70,2,14,11,1,6,0,1,5,2,1,-0.8175992965698242,Daily labour,4,0,1,4,1,0,2,3,3,0,0,265,280,-15
35,0,0,0,0.1666666716337204,90,2,12,14,2,7,1,1,8,1,1,-0.06621140241622925,Daily labour,3,0,0,2,1,0,1,2,4,0,1,290,250,40
28,0,0,0,0.1627907007932663,90,1,11.5,9,0,7,1,0,8,2,1,-0.8175992965698242,Private job with a salary,3,0,1,3,0,0,1,3,4,1,0,150,150,0
35,0,0,0,1.3705720901489258,70,2,11,11,1,3,0,1,8,1,1,1.436564326286316,Daily labour,3,0,1,4,1,0,1,1,2,0,0,175,205,-30
28,0,0,0,1.3705720901489258,90,2,12,12,2,7,1,0,12,3,1,-0.06621140241622925,Private job with a salary,3,0,1,4,1,0,2,4,3,0,0,180,210,-30
31,0,0,0,1.4114439487457275,90,2,12,14,1,4,0,1,10,1,1,0.685176432132721,Daily labour,3,0,1,2,1,0,0,2,4,0,0,250,280,-30
70,0,0,0,1.4415055513381958,90,1,18.5,6.5,1,2,1,0,8,1,1,-0.06621140241622925,Pension - Government,3,0,1,4,1,0,0,1,2,0,0,180,210,-30
38,0,0,0,1.4523159265518188,100,1,13.5,7,0,6,0,0,10,1,1,-0.06621140241622925,Earnings from trade,3,0,1,4,0,0,1,2,4,1,0,330,330,0
45,0,0,0,1.4931879043579102,70,2,23,12,0,6,0,0,12,1,1,-0.8175992965698242,Earnings from trade,3,0,1,2,0,0,1,2,4,1,0,250,300,-50
55,1,0,0,1.408952236175537,100,1,13,8,1,7,0,1,5,2,1,-0.8175992965698242,Daily labour,4,0,0,3,0,0,1,3,3,1,1,100,100,0
30,0,1,1,1.3705720901489258,90,1,12,16,1,7,1,1,0,1,1,-0.8175992965698242,Rent from agricultural land,3,0,0,1,1,0,1,2,5,0,1,220,200,20
36,0,0,0,0.12403100728988647,80,1,11,15,2,6,0,1,12,1,1,0.685176432132721,Daily labour,3,0,0,1,1,0,1,2,3,0,1,180,150,30
38,0,0,0,1.4359670877456665,80,2,14,9,1,4,0,1,12,1,1,-0.06621140241622925,Earnings from trade,3,0,1,4,1,0,1,2,3,0,0,210,310,-100
25,0,0,0,1.3297001123428345,75,2,11,15,2,4,0,1,10,1,0,-0.06621140241622925,Daily labour,3,0,0,4,1,0,1,2,3,0,1,260,240,20
26,0,0,0,1.4415055513381958,50,2,14,14,2,7,0,1,1,1,1,-0.06621140241622925,Daily labour,4,0,1,4,1,0,1,1,2,0,0,170,195,-25
27,0,0,0,1.4415055513381958,100,1,24,9.5,1,5,0,0,18,2,0,1.436564326286316,Private job with a salary,2,0,0,5,1,1,2,3,3,1,0,300,300,0
53,0,0,0,0.7651313543319702,90,1,15,12,1,9,0,1,18,4,1,-1.5689871311187744,Earnings from trade,2,0,0,3,1,0,2,3,5,0,1,260,250,10
55,0,0,0,1.197355031967163,70,2,13.5,11,1,7,0,1,8,2,1,-0.06621140241622925,Current government job,1,0,0,2,1,1,2,3,4,1,1,200,200,0
45,0,0,0,1.4114439487457275,100,1,12.833333969116211,9.333333969116211,0,5,0,0,12,1,1,-1.5689871311187744,Current government job,3,0,1,4,0,0,1,2,3,1,0,250,250,0
38,0,0,0,1.2479562759399414,100,2,13,13,0,8,1,1,10,2,1,0.685176432132721,Earnings from trade,3,0,1,1,1,0,0,1,3,1,0,150,200,-50
29,0,0,0,0.12403100728988647,95,2,12,11,0,8,0,0,10,2,1,-0.8175992965698242,Private job with self-employment,3,0,1,2,1,0,1,2,2,0,0,250,250,0
25,0,0,0,0.7072582244873047,80,2,14,12,1,10,1,1,10,2,1,-0.06621140241622925,Earnings from trade,3,0,0,4,1,1,2,4,4,0,1,250,210,40
42,0,0,0,1.20708429813385,70,1,22.5,10,0,7,0,1,18,1,1,2.1879522800445557,Current government job,2,0,1,5,1,1,1,2,3,1,0,250,250,0
45,0,0,0,1.3705720901489258,100,1,11.333333015441895,8.333333015441895,0,8,0,0,6,2,1,-0.8175992965698242,Private job with a salary,3,0,1,1,0,0,1,3,2,1,0,180,180,0
50,0,0,0,1.3297001123428345,80,1,13,10,0,6,0,0,5,1,1,1.436564326286316,Daily labour,5,0,1,2,1,0,1,1,1,1,0,250,250,0
40,0,0,0,1.2888281345367432,85,1,12,11,0,24,0,0,10,3,1,-1.5689871311187744,Earnings from trade,4,0,0,1,0,0,1,1,2,1,1,300,300,0
20,0,0,0,1.4196183681488037,100,1,12.166666030883789,9.666666984558105,0,4,0,0,10,1,1,-0.8175992965698242,Earnings from trade,3,0,1,3,0,0,1,2,3,1,0,300,300,0
50,0,0,0,1.4931879043579102,85,2,11,12.5,2,5,0,0,4,2,1,-0.06621140241622925,Daily labour,4,0,1,4,1,0,1,2,3,0,0,240,270,-30
23,0,0,0,0.6493850350379944,80,1,13,13,1,5,0,1,8,2,1,-0.8175992965698242,Daily labour,3,0,1,1,1,0,0,2,3,0,0,190,200,-10
25,0,0,0,1.20708429813385,65,1,21,15,1,7,0,1,7,3,1,-1.5689871311187744,Earnings from trade,2,0,1,2,1,0,2,3,6,1,0,150,200,-50
22,0,0,0,1.2888281345367432,75,1,12,13,1,6,0,0,10,1,1,1.436564326286316,Daily labour,3,0,0,2,1,0,1,1,4,1,1,190,150,40
62,0,0,0,1.20708429813385,80,2,14.5,9.5,0,9,0,1,8,2,1,0.685176432132721,Daily labour,4,0,0,3,0,0,1,1,1,1,1,350,350,0
