s2_q3_baseline,s3_q6_a_7_baseline,s3_q6_a_9_baseline,s3_q6_9_baseline,forecast_ability_baseline,s6f_q4_baseline,s7_q16_baseline,inside_total_hrs_baseline,work_total_hrs_baseline,s9_q4_field_count_baseline,dem_q2_baseline,dem_q3_baseline,dem_q5_baseline,yrs_educ_formal_baseline,dem_q8_baseline,own_house_baseline,asset_index_baseline,dem_q31_baseline,dem_q32_baseline,tehsil_n_baseline,epd_treatment_baseline,s7_q2_baseline_r,dem_q14_baseline,dem_q22_baseline,dem_q24_baseline,dem_q25_baseline,dem_q30_baseline,pref_baseline,pref_endline,wtp_paqi,wtp_epd,wtp_dif
19,0,0,0,0.1666666716337204,90,2,16,10,1,10,0,1,6,3,0,-0.8175992965698242,Daily labour,4,0,0,4,1,0,1,3,2,0,1,300,285,15
36,0,0,0,0.226431742310524,90,4,12,7,2,5,0,1,10,1,1,0.685176432132721,Earnings from trade,3,0,0,4,1,1,1,2,2,0,1,322,290,32
40,0,0,0,0.20155039429664612,96,1,13.5,8.5,0,6,0,0,6,1,0,0.685176432132721,Private job with self-employment,4,0,0,2,1,0,1,2,3,1,1,300,300,0
26,0,0,0,1.4008138179779053,90,2,12,12,0,11,1,1,9,2,1,0.685176432132721,Private job with self-employment,4,0,0,3,1,0,1,1,1,1,1,350,350,0
36,0,0,0,1.3194303512573242,80,1,11,11.5,0,6,1,1,16,1,1,1.436564326286316,Private job with self-employment,4,0,0,4,1,0,1,1,1,1,1,300,300,0
47,0,0,0,0.18414099514484406,75,1,12,13,1,5,0,1,5,1,1,-0.8175992965698242,Daily labour,3,0,0,4,1,0,1,2,3,0,1,320,250,70
50,1,0,0,1.197355031967163,80,1,22.5,10.5,0,6,0,0,10,1,1,-0.06621140241622925,Daily labour,3,0,0,3,1,0,1,2,3,0,1,250,250,0
35,0,0,0,1.408952236175537,100,1,14.5,8,0,5,0,1,0,1,1,-0.8175992965698242,Earnings from trade,4,0,0,1,0,0,1,2,3,1,1,100,100,0
45,0,0,0,1.197355031967163,70,1,10,13.5,0,5,0,1,0,1,1,-0.06621140241622925,Earnings from trade,3,0,0,3,1,0,1,2,3,1,1,250,250,0
32,0,0,0,0.1627907007932663,70,1,15,11,1,4,1,1,12,1,1,-0.06621140241622925,Earnings from trade,3,0,0,4,1,0,1,2,4,0,1,295,245,50
45,0,0,0,0.1627907007932663,80,2,14.5,8,0,6,0,0,6,1,1,0.685176432132721,Private job with self-employment,4,0,0,3,1,0,1,2,1,1,1,250,250,0
42,0,1,1,0.12070485949516296,60,2,12.5,12.5,1,5,0,0,0,3,1,-0.8175992965698242,Daily labour,3,0,0,3,0,0,0,1,3,1,1,250,220,30
34,0,0,0,0.18414099514484406,70,4,13,4,1,6,1,1,8,1,1,-0.06621140241622925,Earnings from trade,3,0,0,4,0,0,1,1,2,0,1,280,250,30
40,0,0,0,1.4415055513381958,100,1,11.5,8,0,6,0,1,0,1,1,-0.8175992965698242,Earnings from trade,5,0,0,1,0,0,0,2,3,1,0,300,300,0
29,0,1,1,0.12403100728988647,95,1,23,10.5,1,4,0,1,16,1,1,2.1879522800445557,Daily labour,2,0,0,3,1,1,1,2,3,0,1,200,200,0
35,0,1,1,1.2787384986877441,60,1,13,13,0,7,1,1,0,1,1,-1.5689871311187744,Daily labour,3,0,0,1,1,0,2,2,6,1,1,300,250,50
42,0,0,0,0.1627907007932663,90,1,14,14,0,6,0,1,10,1,1,-0.06621140241622925,Earnings from trade,3,0,0,1,1,0,0,1,4,0,1,250,220,30
42,0,0,0,1.534059762954712,90,1,13,14,0,4,0,1,10,1,1,-0.06621140241622925,Earnings from trade,3,0,0,1,0,0,1,2,4,1,1,330,300,30
35,0,0,0,1.5228891372680664,80,2,22.5,10,1,7,0,1,12,1,1,2.1879522800445557,Current government job,2,0,0,4,1,1,1,2,3,1,1,300,300,0
19,0,0,0,1.4931879043579102,85,1,20,14.5,1,4,0,0,10,1,0,0.685176432132721,Daily labour,4,0,0,3,1,0,1,2,3,0,1,240,200,40
28,0,0,0,0.226431742310524,85,2,21,15,2,6,1,1,8,1,1,-0.06621140241622925,Daily labour,3,0,0,4,1,0,1,2,3,0,1,280,240,40
50,0,0,0,0.10465116053819656,80,2,13,13,0,7,0,1,0,1,1,1.436564326286316,Daily labour,3,0,0,2,1,0,1,1,3,0,1,200,180,20
67,0,0,0,1.4008138179779053,90,1,20,1,0,9,1,1,16,1,1,1.436564326286316,Pension - Government,3,0,0,2,1,0,2,3,3,1,1,350,350,0
38,0,0,0,1.4008138179779053,80,2,13,13,1,4,0,1,10,1,1,-0.06621140241622925,Daily labour,3,0,0,4,1,0,1,2,2,0,1,355,315,40
35,0,0,0,0.1666666716337204,90,2,12,14,2,7,1,1,8,1,1,-0.06621140241622925,Daily labour,3,0,0,2,1,0,1,2,4,0,1,290,250,40
55,1,0,0,1.408952236175537,100,1,13,8,1,7,0,1,5,2,1,-0.8175992965698242,Daily labour,4,0,0,3,0,0,1,3,3,1,1,100,100,0
30,0,1,1,1.3705720901489258,90,1,12,16,1,7,1,1,0,1,1,-0.8175992965698242,Rent from agricultural land,3,0,0,1,1,0,1,2,5,0,1,220,200,20
36,0,0,0,0.12403100728988647,80,1,11,15,2,6,0,1,12,1,1,0.685176432132721,Daily labour,3,0,0,1,1,0,1,2,3,0,1,180,150,30
25,0,0,0,1.3297001123428345,75,2,11,15,2,4,0,1,10,1,0,-0.06621140241622925,Daily labour,3,0,0,4,1,0,1,2,3,0,1,260,240,20
27,0,0,0,1.4415055513381958,100,1,24,9.5,1,5,0,0,18,2,0,1.436564326286316,Private job with a salary,2,0,0,5,1,1,2,3,3,1,0,300,300,0
53,0,0,0,0.7651313543319702,90,1,15,12,1,9,0,1,18,4,1,-1.5689871311187744,Earnings from trade,2,0,0,3,1,0,2,3,5,0,1,260,250,10
55,0,0,0,1.197355031967163,70,2,13.5,11,1,7,0,1,8,2,1,-0.06621140241622925,Current government job,1,0,0,2,1,1,2,3,4,1,1,200,200,0
25,0,0,0,0.7072582244873047,80,2,14,12,1,10,1,1,10,2,1,-0.06621140241622925,Earnings from trade,3,0,0,4,1,1,2,4,4,0,1,250,210,40
40,0,0,0,1.2888281345367432,85,1,12,11,0,24,0,0,10,3,1,-1.5689871311187744,Earnings from trade,4,0,0,1,0,0,1,1,2,1,1,300,300,0
22,0,0,0,1.2888281345367432,75,1,12,13,1,6,0,0,10,1,1,1.436564326286316,Daily labour,3,0,0,2,1,0,1,1,4,1,1,190,150,40
62,0,0,0,1.20708429813385,80,2,14.5,9.5,0,9,0,1,8,2,1,0.685176432132721,Daily labour,4,0,0,3,0,0,1,1,1,1,1,350,350,0
42,0,0,0,1.3705720901489258,90,1,11,12,0,4,0,1,10,1,1,0.685176432132721,Private job with self-employment,4,0,0,2,1,0,1,1,1,1,1,300,300,0
55,1,1,1,1.6975475549697876,60,2,14.5,11.5,0,8,0,1,0,2,1,1.436564326286316,Daily labour,3,0,0,3,1,0,1,1,4,1,1,250,250,0
36,1,0,0,1.3705720901489258,80,2,22.5,11.5,1,5,0,1,12,1,1,0.685176432132721,Private job with a salary,2,0,0,4,1,1,1,2,3,1,1,200,200,0
38,0,0,1,1.4523159265518188,80,2,21,16,2,3,1,0,6,1,0,-0.06621140241622925,Earnings from trade,4,0,0,2,1,0,1,2,3,0,1,280,250,30
40,0,0,0,1.408952236175537,85,1,12.833333969116211,10.333333015441895,0,5,0,0,0,1,1,3.690727949142456,Private job with self-employment,3,0,0,3,1,0,1,1,2,1,1,300,300,0
50,1,1,1,0.03100775182247162,80,1,23,13,0,6,0,0,10,1,1,-0.06621140241622925,Earnings from trade,2,0,0,3,1,0,1,2,3,1,1,250,250,0
45,0,0,0,1.4196183681488037,70,1,13.166666984558105,9.5,0,7,0,0,6,1,0,0.685176432132721,Daily labour,3,0,0,1,1,0,1,1,3,1,1,200,200,0
40,0,0,0,0.1472868174314499,100,1,12.5,9,0,5,1,1,9,1,1,-0.8175992965698242,Daily labour,4,0,0,1,0,0,1,2,2,1,1,250,250,0
40,0,0,0,1.3601220846176147,75,2,11.5,12,0,6,0,0,8,1,1,-0.8175992965698242,Private job with self-employment,4,0,0,2,1,0,0,1,1,1,1,100,100,0
26,0,0,0,0.6609596610069275,80,1,19.5,13,1,7,0,0,18,2,1,-0.06621140241622925,Private job with a salary,3,0,0,4,1,0,2,3,4,0,1,280,250,30
36,1,0,0,1.4008138179779053,100,1,21.16666603088379,5.833333492279053,1,6,1,1,18,2,1,0.685176432132721,Private job with self-employment,2,0,0,3,0,1,2,5,6,1,1,200,200,0
32,0,0,0,0.6783216595649719,80,2,12,12,1,4,0,1,8,1,1,-0.06621140241622925,Daily labour,4,0,0,4,1,0,1,2,2,0,1,235,200,35
36,0,0,0,1.4523159265518188,80,2,11,12,1,5,1,1,16,1,1,-0.06621140241622925,Earnings from trade,3,0,0,4,1,0,1,2,3,0,1,222,176,46
40,0,0,0,1.3460488319396973,80,1,9,16,1,6,0,1,10,1,1,0.685176432132721,Daily labour,4,0,0,3,1,0,0,1,3,0,1,220,200,20
34,0,0,0,1.4931879043579102,100,1,12.833333015441895,7.333333492279053,0,5,0,0,10,1,1,-0.8175992965698242,Earnings from trade,3,0,0,1,0,0,1,3,2,1,1,200,200,0
30,0,0,0,0.6783216595649719,75,2,19,13.5,1,8,0,1,3,1,0,-0.8175992965698242,Private job with a salary,4,0,0,2,1,0,0,1,2,0,1,190,150,40
50,0,0,0,1.3705720901489258,70,2,9,14,1,8,0,1,0,2,0,-0.8175992965698242,Daily labour,5,0,0,3,1,0,0,1,2,0,1,205,180,25
30,0,0,0,1.4931879043579102,70,2,12,12,1,8,1,1,2,2,1,-0.8175992965698242,Daily labour,3,0,0,3,1,0,2,3,3,0,1,200,190,10
59,1,0,0,1.615803599357605,80,1,22,9.5,1,7,0,1,10,2,1,2.939340114593506,Current government job,1,0,0,4,1,1,1,3,3,0,1,300,300,0
40,0,0,0,1.4523159265518188,70,2,22,9.5,0,4,0,1,12,1,1,0.685176432132721,Earnings from trade,3,0,0,3,1,0,1,1,3,0,1,350,350,0
50,0,0,0,1.408952236175537,100,1,12.5,9,0,8,0,0,10,2,1,-0.8175992965698242,Earnings from trade,3,0,0,3,0,0,1,3,3,1,1,100,100,0
45,0,0,0,0.9042580723762512,70,2,15,8,1,4,0,1,0,1,1,-0.06621140241622925,Earnings from trade,4,0,0,4,1,0,1,1,2,0,1,290,250,40
50,1,0,0,0.8519411087036133,80,2,12.5,11,0,13,1,1,0,2,1,-0.06621140241622925,Daily labour,2,0,0,4,1,0,1,3,5,1,1,300,300,0
30,1,0,0,0.6493850350379944,80,1,14,9,0,4,0,1,18,1,0,0.685176432132721,Current government job,2,0,0,2,1,0,1,2,3,1,1,350,350,0
25,0,0,0,0.6725343465805054,85,2,20.5,13.5,1,7,1,1,8,1,1,0.685176432132721,Private job with a salary,3,0,0,2,1,1,1,2,5,0,1,290,250,40
55,0,0,1,0.9800962209701538,75,2,24,16.5,2,6,0,0,10,1,1,-0.06621140241622925,Earnings from trade,4,0,0,4,1,0,1,2,3,0,1,275,250,25
25,0,0,0,0.6783216595649719,100,4,14.5,7,0,6,0,0,18,2,1,0.685176432132721,Private job with a salary,2,0,0,4,0,1,2,4,5,1,1,180,180,0
25,0,0,0,0.9359956979751587,90,2,13.5,13,1,4,0,0,10,2,1,-0.8175992965698242,Private job with a salary,3,0,0,1,0,0,1,2,4,0,1,150,130,20
50,0,0,0,0.5625753402709961,80,1,13.5,10.5,0,8,0,1,0,2,0,-0.06621140241622925,Daily labour,3,0,0,3,1,0,1,3,7,1,1,250,250,0
50,0,0,0,0.7361947894096375,90,2,23.5,11.5,1,6,0,1,16,2,1,1.436564326286316,Private job with self-employment,2,0,0,4,1,1,1,3,4,0,1,300,300,0
30,0,0,0,0.87252044677734375,100,1,13,9,0,4,0,1,10,1,0,-0.8175992965698242,Daily labour,2,0,0,3,0,0,1,2,3,1,1,80,80,0
48,0,0,0,0.6204484701156616,90,2,13.5,9.5,0,5,0,0,10,1,1,1.436564326286316,Daily labour,3,0,0,1,1,0,1,1,1,1,1,200,200,0
75,0,0,1,1.4523159265518188,75,2,23,18,1,10,0,1,2,2,1,-0.8175992965698242,Earnings from trade,3,0,0,4,1,0,1,3,4,0,1,210,180,30
40,0,0,0,1.4523159265518188,90,1,12.5,14,0,6,0,1,10,1,1,-0.8175992965698242,Current government job,3,0,0,3,1,0,1,2,6,1,1,250,200,50
24,0,0,0,1.003210186958313,70,2,11,11,1,4,1,1,6,1,1,0.685176432132721,Daily labour,3,0,0,4,1,0,1,1,2,0,1,265,210,55
25,0,0,0,0.8876404166221619,90,2,14,13,2,7,0,1,10,3,1,-0.06621140241622925,Earnings from trade,3,0,0,4,1,0,1,2,4,0,1,210,180,30
50,0,0,0,0.810593843460083,70,1,13.5,14.5,0,4,0,0,5,1,1,-1.5689871311187744,Daily labour,3,0,0,1,0,0,0,2,4,1,1,200,180,20
60,1,1,0,0.6204484701156616,80,1,12,10.5,1,17,1,1,10,2,0,-0.06621140241622925,Daily labour,4,0,0,1,1,0,1,2,2,1,1,300,300,0
27,0,0,0,0.810593843460083,70,2,16,15,1,5,0,1,16,1,1,-0.8175992965698242,Private job with a salary,3,0,0,4,1,0,2,2,4,0,1,275,240,35
47,0,0,0,0.38766521215438843,100,1,14,14.5,0,13,1,1,5,3,1,-1.5689871311187744,Earnings from trade,3,0,0,2,1,0,2,3,6,1,1,250,220,30
35,0,0,0,0.7361947894096375,80,1,14,14,1,7,1,1,12,2,1,-0.06621140241622925,Current government job,4,0,0,2,1,0,1,2,5,0,1,270,230,40
45,0,0,0,0.8407828211784363,80,2,16,16,0,4,0,0,4,1,1,-0.06621140241622925,Daily labour,4,0,0,4,1,0,0,1,2,0,1,270,250,20
23,0,0,0,0.6783216595649719,80,2,12,14,1,3,0,0,8,1,1,-0.06621140241622925,Daily labour,4,0,0,4,1,0,1,2,2,0,1,260,210,50
38,0,0,0,0.7361947894096375,100,1,14.166666984558105,8.333333015441895,1,5,0,0,18,1,1,0.685176432132721,Current government job,2,0,0,4,1,1,1,3,5,1,1,200,200,0
35,0,0,0,0.7361947894096375,80,1,20,14.5,1,5,0,1,16,1,1,-0.8175992965698242,Private job with a salary,3,0,0,3,1,0,1,2,3,0,1,270,230,40
27,0,0,0,0.39645591378211975,100,1,11.5,9.5,0,7,0,1,0,1,1,-0.8175992965698242,Private job with a salary,4,0,0,1,0,0,1,3,3,1,1,100,100,0
40,0,1,0,0.4468289911746979,70,1,13,9.5,1,8,1,1,10,1,0,0.685176432132721,Daily labour,3,0,0,1,1,0,1,2,4,1,1,390,390,0
20,0,0,0,0.8407828211784363,60,1,24,12.5,0,4,0,1,7,1,0,0.685176432132721,Daily labour,4,0,0,3,1,0,1,1,1,1,1,180,180,0
30,0,1,0,0.5915119051933289,70,2,13,10.5,1,5,0,0,8,1,1,-0.06621140241622925,Earnings from trade,3,0,0,2,1,0,1,2,2,1,1,150,150,0
35,0,1,1,0.7773075699806213,70,2,12.5,15.5,0,3,0,0,0,1,1,-0.06621140241622925,Daily labour,4,0,0,2,0,0,0,1,4,0,1,275,250,25
40,0,0,0,0.8876404166221619,50,1,22,14.5,0,8,1,1,10,1,1,-1.5689871311187744,Earnings from trade,3,0,0,2,1,0,2,3,5,1,1,280,250,30
40,0,0,0,0.6783216595649719,90,2,14,14,0,5,1,1,8,1,1,-0.8175992965698242,Private job with a salary,3,0,0,1,0,0,1,2,5,0,1,250,220,30
24,0,0,1,0.8217402100563049,80,1,21.5,15,1,11,1,1,16,4,1,-1.5689871311187744,Earnings from trade,3,0,0,1,1,0,2,5,5,0,1,230,200,30
52,0,1,1,0.6783216595649719,70,2,13.5,13.5,0,6,0,0,0,1,1,0.685176432132721,Private job with a salary,3,0,0,2,1,0,1,1,5,0,1,280,250,30
48,1,0,0,0.7138322591781616,80,1,22,13,0,8,0,1,7,2,1,2.1879522800445557,Earnings from trade,4,0,0,4,0,0,0,3,3,1,1,250,250,0
65,1,0,0,0.6493850350379944,80,1,21,3.5,0,7,0,1,9,2,0,0.685176432132721,Pension - Government,3,0,0,4,1,1,1,2,4,0,1,350,350,0
33,0,1,1,0.27753305435180664,80,1,24,13.5,0,6,0,1,10,2,0,-0.06621140241622925,Earnings from industry,3,0,0,2,1,0,1,2,3,0,1,300,300,0
28,1,0,0,0.7455698847770691,75,1,24,11.166666984558105,0,9,1,1,16,2,1,-0.06621140241622925,Private job with self-employment,2,0,0,2,1,1,2,3,3,0,1,150,150,0
30,0,1,1,0.6204484701156616,60,1,12.5,14,0,8,1,1,0,3,1,-2.3203749656677246,Earnings from trade,3,0,0,1,0,0,0,2,5,0,1,240,200,40
58,0,1,1,0.40969163179397583,70,2,14,11,0,2,0,0,0,1,0,0.685176432132721,Daily labour,2,0,0,2,1,0,1,1,2,1,1,350,350,0
42,0,0,0,0.7773075699806213,80,2,14,11,1,6,1,1,10,1,1,-0.06621140241622925,Earnings from trade,2,0,0,4,1,1,2,3,4,0,1,220,190,30
26,0,0,0,0.9359956979751587,100,2,14.5,12,1,5,0,0,16,1,1,-0.06621140241622925,Earnings from trade,4,0,0,2,0,0,1,1,5,1,1,300,220,80
25,1,0,0,0.8407828211784363,90,1,24,11,1,6,0,0,12,2,1,-0.06621140241622925,Private job with self-employment,2,0,0,1,1,0,2,3,4,1,1,380,380,0
50,0,0,0,0.5868817567825317,100,1,11.5,9,0,5,0,0,5,1,0,-0.8175992965698242,Earnings from trade,4,0,0,1,0,0,1,2,3,1,1,270,270,0
62,1,1,1,0.7138322591781616,90,1,20.5,14,0,4,1,0,12,0,1,-0.06621140241622925,Private job with a salary,2,0,0,2,1,0,1,2,2,1,1,250,250,0
26,0,0,0,0.9106056094169617,85,1,20.5,15,1,7,0,1,12,1,1,-0.06621140241622925,Private job with a salary,3,0,0,3,1,1,1,3,6,0,1,290,250,40
50,0,0,0,0.9042580723762512,70,2,15,14,1,4,0,0,8,1,1,0.685176432132721,Earnings from trade,3,0,0,4,1,0,1,2,4,0,1,230,200,30
33,0,0,0,0.6783216595649719,90,2,13,11,2,4,1,1,16,1,1,0.685176432132721,Current government job,3,0,0,4,1,0,1,2,3,0,1,200,175,25
50,0,0,0,0.87252044677734375,70,2,13,12,1,5,0,1,10,1,1,-0.8175992965698242,Earnings from trade,3,0,0,4,1,0,2,2,3,0,1,260,240,20
26,0,0,0,0.964686930179596,90,1,22,15.5,1,10,0,1,10,3,1,-0.8175992965698242,Daily labour,3,0,0,3,1,0,2,4,4,0,1,240,210,30
28,1,0,0,0.9042580723762512,100,1,24,14,0,3,0,1,10,0,0,-1.5689871311187744,Private job with a salary,5,0,0,3,1,0,0,1,2,1,1,350,350,0
44,0,0,0,0.8090451955795288,70,1,12,11.5,0,7,0,1,8,2,1,-0.8175992965698242,Earnings from trade,3,0,0,2,1,0,2,2,4,1,1,250,210,40
50,0,0,0,0.7361947894096375,100,1,13.5,9,0,5,0,0,5,1,1,-0.06621140241622925,Earnings from trade,3,0,0,1,1,0,1,2,6,1,1,230,230,0
52,0,0,1,0.8407828211784363,75,2,21,14.5,2,8,0,1,10,1,1,-0.06621140241622925,Earnings from trade,3,0,0,4,1,0,1,2,4,0,1,290,250,40
38,0,1,1,0.9042580723762512,99,2,21.5,11.5,1,6,0,1,16,0,1,2.939340114593506,Private job with a salary,2,0,0,3,1,1,0,2,3,1,1,300,300,0
25,0,0,0,0.7361947894096375,80,2,13,10,1,4,0,1,16,1,1,-0.8175992965698242,Private job with a salary,3,0,0,4,1,0,2,3,3,0,1,220,195,25
50,0,0,0,0.7072582244873047,100,1,12,9.5,0,10,1,0,8,1,1,-0.8175992965698242,Private job with a salary,4,0,0,1,0,0,1,2,3,1,1,300,300,0
27,0,0,0,0.8534778952598572,70,2,14,9,2,7,0,1,16,2,1,-0.8175992965698242,Private job with a salary,3,0,0,4,1,0,2,3,4,0,1,215,185,30
28,0,0,0,0.8090451955795288,90,2,12,12,1,3,0,0,10,1,0,-0.8175992965698242,Daily labour,2,0,0,2,1,0,1,2,2,1,1,150,150,0
42,0,0,0,0.6503570079803467,70,1,13,9.5,2,5,0,1,10,1,0,-0.06621140241622925,Earnings from industry,2,0,0,2,1,0,1,2,3,0,1,350,350,0
