duration_baseline,s2_q3_baseline,s3_q6_7_baseline,s3_q6_9_baseline,s3_q23_baseline,s3_q1_baseline,s6_q6_baseline,s6f_q3_baseline,forecast_ability_baseline,s6f_q4_baseline,air_worry_baseline,s7_q10_baseline,s7_q12_baseline,s7_q13_baseline,s7_q14_baseline,s7_q16_baseline,outside_total_hrs_baseline,work_total_hrs_baseline,s7_q33_baseline,s9_q4_3_1_baseline,main_news_Geo_baseline,s9_q5_3_7_baseline,s9_q5_3_12_baseline,s9_q5_3_0_baseline,s9_q5_field_count_baseline,s9_q5_4_1_baseline,s9_q7_field_count_baseline,s9_q7_1_1_baseline,s9_q7_3_1_baseline,dem_q1_baseline,dem_q3_baseline,dem_q4_baseline,dem_q5_baseline,dem_q6_baseline,dem_q8_baseline,dem_q9_baseline,dem_q14_baseline,dem_q22_baseline,dem_q24_baseline,dem_q25_baseline,dem_q30_baseline,asset_index_baseline,dem_q31_baseline,dem_q32_baseline,tehsil_n_baseline,epd_treatment_baseline,s3_q11v12_baseline_r_std,s3_q15v16_baseline_r_std,num_sources_known_baseline,high_error,hhid,pref_baseline,pref_endline,wtp_paqi,wtp_epd,wtp_dif,dem_q7_baseline
2737,20,0,0,30,4,about the same as today,280,0.08527132123708725,90,1,1,4,4,2,2,13,13,1,0,1,0,0,1,1,1,1,WhatsApp,0,son of household head,0,1,1,1,1,Owned,1,0,1,2,2,0.685176432132721,Daily labour,4,0,1,1.464520078998723,1.6207331401087366,1,0,6015,0,0,300,320,-20,Secondary/Matric
4248,32,0,0,50,4,about the same as today,300,0.2687225043773651,85,0,4,1,1,1,2,12.5,11,1,0,0,0,0,0,0,1,1,Facebook,0,head of household,0,1,0,3,1,Rented,1,0,1,1,2,-0.8175992965698242,Earnings from trade,3,0,1,-1.3513526183488216,0.6459654526106634,3,0,1005,0,0,220,220,0,Middle (6-8)
3264,40,0,0,50,1,about the same as today,250,0.05726873502135277,100,0,3,1,1,1,1,9,6,0,0,1,0,0,1,1,1,0,WhatsApp,0,head of household,1,1,1,7,3,Owned someone else,0,0,2,5,5,-1.5689871311187744,Daily labour,3,0,1,-0.4127283858996401,-0.32880223488740973,1,0,2001,1,0,400,400,0,Middle (6-8)
2851,55,0,0,50,4,about the same as today,300,0.1627907007932663,70,1,2,4,4,2,1,10,15,1,0,1,0,0,0,1,0,0,WhatsApp,0,head of household,0,1,0,3,3,Owned,1,0,1,3,3,-0.06621140241622925,Private job with a salary,3,0,1,0.5258958465495415,2.5955008276068097,1,0,6020,0,0,290,305,-15,Other education
2558,35,0,0,30,2,about the same as today,290,0.12403100728988647,90,0,3,2,2,2,1,1.5,14,1,0,0,0,1,0,1,1,0,WhatsApp,0,son of household head,1,1,1,3,3,Owned,1,0,1,3,5,-0.8175992965698242,Daily labour,3,0,0,0.5258958465495415,0.6459654526106634,1,0,5015,0,1,300,260,40,Primary (1-5)
3116,34,0,0,20,5,worse than today,300,0.1627907007932663,99,1,2,4,1,2,2,1,12,1,1,0,1,0,0,2,1,1,Facebook,0,head of household,1,1,1,1,2,Owned,1,1,2,4,5,1.436564326286316,Private job with a salary,1,0,0,0.5258958465495415,-0.32880223488740973,3,0,3007,0,1,250,250,0,University
2930,48,0,0,60,5,worse than today,295,0.1434108465909958,80,0,3,2,1,1,1,4,16,1,1,0,0,0,0,1,1,0,WhatsApp,0,head of household,0,1,1,2,2,Owned,1,0,0,1,4,-0.06621140241622925,Earnings from trade,3,0,0,0.5258958465495415,-1.303569922385483,1,0,4018,1,1,290,250,40,No formal education
2544,35,0,0,50,4,better than today,305,0.1821705400943756,80,0,4,1,1,1,2,1.5,16,1,0,0,0,0,1,1,1,2,WhatsApp,0,head of household,0,1,1,3,1,Owned,1,0,1,2,3,-0.06621140241622925,Earnings from trade,3,0,0,-0.4127283858996401,-0.32880223488740973,1,0,5016,0,1,250,210,40,Middle (6-8)
2713,45,0,0,50,4,about the same as today,285,0.10465116053819656,80,1,2,4,4,2,2,12,13,1,0,1,0,0,1,1,1,0,WhatsApp,0,head of household,0,1,1,1,2,Rented,1,0,1,2,2,-0.8175992965698242,Daily labour,4,0,0,0.5258958465495415,-0.32880223488740973,1,0,6014,0,1,280,220,60,Other education
2493,38,0,0,50,2,about the same as today,290,0.12403100728988647,85,0,2,1,1,2,1,2,14,1,0,0,1,0,0,1,1,2,WhatsApp,0,son of household head,1,2,1,4,1,Owned,1,0,1,2,3,-0.06621140241622925,Private job with a salary,4,0,1,-0.4127283858996401,0.6459654526106634,1,0,5020,0,0,220,250,-30,Secondary/Matric
3434,48,0,1,50,4,about the same as today,250,0.05726873502135277,70,1,1,2,2,2,1,0,11,1,0,1,1,0,0,1,0,0,WhatsApp,0,head of household,1,1,0,3,1,Owned,1,0,1,2,6,-0.06621140241622925,Earnings from trade,3,0,1,-1.3513526183488216,-1.303569922385483,1,0,3001,1,0,300,300,0,Primary (1-5)
2752,35,0,0,50,4,worse than today,270,0.04651162773370743,80,0,2,1,2,2,1,11,14,1,1,0,0,0,1,1,1,0,WhatsApp,0,head of household,0,1,1,3,1,Owned,0,0,1,2,5,-1.5689871311187744,Daily labour,3,0,0,-2.2899768507980034,-1.303569922385483,1,0,4015,1,1,250,230,20,Primary (1-5)
2630,30,0,0,50,4,about the same as today,300,0.1627907007932663,100,0,2,1,2,1,1,4,14,1,1,0,0,0,1,1,1,1,WhatsApp,1,son of household head,1,2,1,3,3,Owned,1,0,1,3,6,-0.06621140241622925,Earnings from trade,3,0,0,0.5258958465495415,-0.32880223488740973,3,0,4016,0,1,300,250,50,Middle (6-8)
4263,46,0,0,50,4,about the same as today,295,0.24757711589336395,90,0,4,2,1,1,2,9,8,1,0,0,0,0,0,1,0,0,WhatsApp,0,head of household,0,1,0,3,1,Owned,1,0,1,2,2,-1.5689871311187744,Private job with self-employment,4,0,0,-0.4127283858996401,-0.32880223488740973,1,0,1002,1,1,250,250,0,Middle (6-8)
2698,42,0,0,50,1,about the same as today,290,0.12403100728988647,100,0,3,1,1,1,1,10.5,8,0,0,1,1,0,0,1,0,0,WhatsApp,0,head of household,0,1,1,1,2,Owned someone else,0,0,1,2,2,-1.5689871311187744,Earnings from trade,4,0,1,-0.4127283858996401,-0.32880223488740973,0,0,2006,1,0,210,210,0,Primary (1-5)
2558,29,0,1,40,2,about the same as today,289,0.12015503644943236,90,1,4,4,4,1,2,3,13,1,1,1,0,0,1,1,1,2,WhatsApp,0,head of household,0,1,1,1,2,Owned,1,0,1,2,3,-0.06621140241622925,Private job with a salary,3,0,1,-0.4127283858996401,-0.32880223488740973,2,0,5018,0,0,250,270,-20,University
2483,40,0,0,50,4,better than today,300,0.1627907007932663,95,0,0,1,1,1,1,10,9,1,0,0,0,0,1,1,1,0,WhatsApp,0,head of household,0,1,0,3,2,Owned,1,0,1,2,2,0.685176432132721,Private job with a salary,3,0,1,0.5258958465495415,-1.303569922385483,3,0,1006,1,0,270,270,0,University
2625,40,0,0,50,1,better than today,300,0.1627907007932663,80,0,2,1,1,1,1,9.5,8,0,0,0,1,0,0,1,0,0,WhatsApp,0,head of household,0,1,1,4,1,Owned someone else,0,0,0,2,3,-0.8175992965698242,Daily labour,4,0,1,-0.4127283858996401,-0.32880223488740973,0,0,2007,1,0,150,150,0,Middle (6-8)
2840,34,0,0,30,5,about the same as today,290,0.12403100728988647,80,1,3,2,4,2,2,7,13,1,0,0,0,0,0,1,0,1,WhatsApp,0,Other,1,1,1,3,3,Owned,1,0,1,2,3,-0.06621140241622925,Private job with a salary,3,0,0,1.464520078998723,2.5955008276068097,1,0,6017,0,1,295,250,45,Postgraduate
2880,28,0,0,40,4,worse than today,290,1.3601220846176147,70,0,4,2,1,2,1,5,14,1,0,1,0,0,0,1,1,1,Facebook,1,head of household,0,1,1,5,3,Owned,1,0,1,2,5,-0.06621140241622925,Earnings from trade,3,0,1,-2.2899768507980034,-0.32880223488740973,2,0,4017,1,0,180,220,-40,Primary (1-5)
3241,27,0,0,50,1,better than today,295,0.24757711589336395,70,0,2,1,1,1,1,8.5,7.5,0,0,0,1,0,0,2,0,1,Facebook,0,head of household,1,1,1,6,2,Owned someone else,0,0,1,3,5,-0.8175992965698242,Daily labour,3,0,0,-0.4127283858996401,-0.32880223488740973,1,0,2002,1,1,150,150,0,Middle (6-8)
3171,40,0,0,50,4,worse than today,310,0.20155039429664612,80,1,3,2,2,2,2,1,11,1,0,1,0,0,0,1,0,0,WhatsApp,0,head of household,0,1,1,1,2,Owned,1,0,1,3,3,-0.06621140241622925,Earnings from trade,3,0,0,0.5258958465495415,0.6459654526106634,2,0,3010,0,1,200,200,0,Middle (6-8)
4253,20,0,0,50,4,better than today,300,0.2687225043773651,98,1,0,1,2,2,1,11.5,11,1,0,0,0,0,0,2,0,1,Facebook,0,head of household,0,1,0,3,3,Owned,1,0,1,3,4,-0.8175992965698242,Private job with a salary,3,0,0,-0.4127283858996401,0.6459654526106634,2,0,1004,0,1,200,200,0,Intermediate
3433,40,0,0,50,4,about the same as today,270,0.14185024797916412,80,1,2,2,4,2,2,1,12,1,1,0,0,0,0,1,1,0,WhatsApp,0,head of household,0,1,0,3,2,Owned,1,1,1,1,3,1.436564326286316,Private job with a salary,2,0,0,1.464520078998723,-0.32880223488740973,1,0,3003,1,1,250,250,0,Middle (6-8)
3341,40,0,1,50,4,worse than today,300,0.2687225043773651,100,1,0,2,2,2,2,0,9,1,0,0,0,0,0,2,0,0,WhatsApp,0,head of household,0,1,0,3,1,Owned,1,1,1,3,4,0.685176432132721,Daily labour,2,0,1,0.5258958465495415,1.6207331401087366,1,0,3005,0,0,250,250,0,Middle (6-8)
3264,35,0,0,50,4,about the same as today,296,0.25180619955062866,100,0,1,2,2,1,1,8.666666030883789,8.333333015441895,0,0,1,0,0,1,1,1,0,WhatsApp,0,head of household,0,1,1,3,1,Owned,0,0,1,2,4,-0.8175992965698242,Earnings from trade,3,0,1,-0.4127283858996401,-0.32880223488740973,1,0,2003,1,0,200,200,0,Secondary/Matric
2500,40,0,0,50,4,about the same as today,296,0.1472868174314499,100,1,2,2,2,2,2,11.5,9,1,0,0,0,0,1,1,1,0,WhatsApp,0,head of household,0,1,0,3,2,Owned,1,0,2,3,3,-0.8175992965698242,Earnings from trade,2,0,1,-0.4127283858996401,-0.32880223488740973,1,0,1008,1,0,230,230,0,Intermediate
2893,40,0,0,50,4,about the same as today,310,0.20155039429664612,90,0,5,2,2,2,2,12,16,1,1,0,0,0,1,1,1,0,WhatsApp,0,head of household,0,1,1,2,1,Owned,1,0,1,2,4,-0.06621140241622925,Earnings from trade,4,0,0,-0.4127283858996401,0.6459654526106634,3,0,4019,1,1,320,280,40,Secondary/Matric
2799,23,0,0,40,4,about the same as today,280,0.08527132123708725,80,1,3,4,5,2,1,12,13,1,0,1,0,1,0,1,1,1,WhatsApp,0,son of household head,1,1,1,5,2,Owned,1,0,1,2,2,0.685176432132721,Private job with a salary,3,0,0,0.5258958465495415,0.6459654526106634,1,0,6019,0,1,300,275,25,Intermediate
2539,19,0,0,0,4,about the same as today,285,0.10465116053819656,70,1,3,2,2,1,2,2.5,13,1,0,1,0,0,1,1,1,2,WhatsApp,0,head of household,0,1,1,1,2,Owned,1,0,0,2,4,-0.8175992965698242,Private job with a salary,3,0,0,1.464520078998723,0.6459654526106634,2,0,5014,0,1,290,250,40,Middle (6-8)
3090,42,0,0,50,4,about the same as today,320,0.24031007289886477,50,0,4,2,1,1,1,1,11,1,0,1,1,0,0,2,0,0,WhatsApp,0,head of household,0,1,0,3,1,Owned,1,0,1,2,3,-0.06621140241622925,Earnings from trade,2,0,0,0.5258958465495415,0.6459654526106634,0,0,3008,0,1,200,200,0,No formal education
2469,43,0,0,50,4,about the same as today,280,0.08527132123708725,80,1,3,2,2,2,2,11,8.5,1,0,1,0,0,1,1,1,0,WhatsApp,0,head of household,0,1,0,3,3,Owned,1,0,2,3,3,-0.8175992965698242,Earnings from trade,3,0,0,0.5258958465495415,-1.303569922385483,1,0,1007,1,1,320,320,0,Intermediate
2325,23,0,0,50,4,about the same as today,300,0.2687225043773651,80,1,3,4,4,2,4,0,13,1,1,1,1,0,0,1,1,1,Facebook,0,head of household,0,1,0,3,2,Rented,1,0,2,2,2,-0.8175992965698242,Earnings from trade,3,0,0,0.5258958465495415,0.6459654526106634,1,0,6006,0,1,305,285,20,Intermediate
2583,23,0,1,60,4,better than today,295,0.24757711589336395,90,0,0,2,2,2,1,14.5,14.5,1,1,1,1,0,0,1,1,1,WhatsApp,1,head of household,0,1,1,1,2,Owned,1,0,1,2,4,-0.06621140241622925,Earnings from trade,2,0,0,-2.2899768507980034,-1.303569922385483,3,0,4004,1,1,380,330,50,University
2622,25,0,0,30,4,about the same as today,290,0.226431742310524,90,0,1,2,2,2,2,10,13,1,1,0,0,0,0,1,1,1,WhatsApp,1,son of household head,1,2,1,2,3,Owned,1,0,1,1,6,0.685176432132721,Earnings from trade,3,0,0,0.5258958465495415,-0.32880223488740973,2,0,4006,1,1,220,180,40,Secondary/Matric
2501,45,0,0,50,4,better than today,295,0.1434108465909958,95,0,5,2,2,2,1,1,0,1,0,0,0,0,1,1,1,0,WhatsApp,0,head of household,0,1,0,3,1,Rented,0,0,1,2,2,-0.8175992965698242,Private job with self-employment,3,0,0,-0.4127283858996401,-0.32880223488740973,1,0,1010,1,1,250,250,0,Secondary/Matric
2526,21,0,0,50,4,better than today,302,0.1705426424741745,80,0,3,2,2,1,1,2,13,1,0,0,0,0,1,1,1,2,WhatsApp,0,son of household head,1,1,1,2,2,Owned,1,0,0,2,2,-0.8175992965698242,Daily labour,4,0,1,0.5258958465495415,0.6459654526106634,1,0,5019,0,0,210,240,-30,Primary (1-5)
3261,40,0,0,50,4,better than today,290,0.226431742310524,100,0,1,2,2,1,1,8,6,0,0,1,0,0,1,1,1,1,WhatsApp,0,head of household,0,1,1,4,2,Owned,0,0,1,4,4,-1.5689871311187744,Earnings from trade,4,0,0,-0.4127283858996401,-0.32880223488740973,1,0,2004,1,1,300,300,0,Secondary/Matric
2629,52,0,0,50,1,about the same as today,300,0.1627907007932663,90,0,3,1,1,1,1,8,8,0,0,0,0,1,0,1,0,0,WhatsApp,0,head of household,0,1,0,3,2,Owned,0,0,2,2,3,-1.5689871311187744,Earnings from trade,3,0,1,-0.4127283858996401,-0.32880223488740973,0,0,2009,1,0,300,300,0,Secondary/Matric
4259,25,0,0,50,4,better than today,300,0.2687225043773651,90,1,0,2,2,2,2,10,9.5,1,0,0,1,0,0,1,0,1,Facebook,0,head of household,0,1,0,3,1,Owned,0,0,1,2,2,-2.3203749656677246,Private job with a salary,5,0,0,-2.2899768507980034,-0.32880223488740973,2,0,1003,1,1,200,200,0,Intermediate
2447,28,0,0,0,4,about the same as today,304,0.2856387794017792,80,0,4,1,2,1,1,1.5,13.5,1,0,0,0,1,0,2,0,0,WhatsApp,0,son of household head,1,1,0,3,1,Owned,1,0,1,1,2,0.685176432132721,Daily labour,3,0,1,0.5258958465495415,0.6459654526106634,2,0,5008,0,0,200,240,-40,Primary (1-5)
2630,45,0,0,40,4,better than today,260,0.099559485912323,70,1,2,4,4,2,4,12,0,1,0,0,0,0,1,1,1,0,WhatsApp,0,son of household head,1,1,1,3,1,Owned,1,0,2,2,4,-0.8175992965698242,Earnings from trade,3,0,1,1.464520078998723,1.6207331401087366,1,0,6008,0,0,310,350,-40,Other education
3188,30,0,1,30,4,about the same as today,300,0.1627907007932663,90,1,0,4,4,2,1,1,13,1,0,1,1,0,0,1,1,0,WhatsApp,0,head of household,1,1,1,2,1,Owned,1,1,1,2,3,-0.06621140241622925,Earnings from trade,2,0,1,0.5258958465495415,0.6459654526106634,2,0,3006,0,0,250,250,0,Secondary/Matric
2484,45,0,1,50,4,worse than today,280,0.18414099514484408,80,0,1,2,2,2,1,10.5,13.5,1,1,0,0,0,1,1,1,0,WhatsApp,0,head of household,0,1,1,3,1,Rented,1,0,1,2,3,0.685176432132721,Daily labour,3,0,0,0.5258958465495415,-0.32880223488740973,2,0,4007,0,1,280,250,30,No formal education
2614,52,0,0,50,2,worse than today,305,0.2898678779602051,100,0,0,4,2,2,1,2,11,1,1,0,0,0,0,1,1,1,WhatsApp,1,head of household,0,1,1,1,1,Owned,1,0,1,2,4,-0.8175992965698242,Earnings from trade,3,0,0,-0.4127283858996401,1.6207331401087366,2,0,4008,1,1,300,250,50,Secondary/Matric
2249,45,0,0,40,4,about the same as today,290,0.226431742310524,90,0,3,2,2,2,1,0,14,1,0,1,0,0,0,1,0,0,WhatsApp,0,son of household head,1,1,0,3,1,Owned,1,0,0,1,2,-0.06621140241622925,Earnings from trade,3,0,0,-1.3513526183488216,0.6459654526106634,1,0,5005,0,1,300,260,40,Primary (1-5)
2926,32,0,0,30,4,better than today,265,0.02713178284466266,60,0,1,1,2,2,2,12,14,1,0,1,0,0,0,1,1,1,WhatsApp,1,son of household head,1,1,1,2,2,Owned,1,0,1,1,4,0.685176432132721,Earnings from trade,3,0,0,-1.3513526183488216,-0.32880223488740973,2,0,4020,1,1,250,200,50,Primary (1-5)
2787,21,0,0,50,4,about the same as today,300,0.1627907007932663,70,1,4,4,4,2,1,10,11,1,0,1,0,0,1,1,1,1,WhatsApp,0,head of household,0,1,1,1,1,Rented,1,0,1,1,2,0.685176432132721,Private job with a salary,3,0,1,0.5258958465495415,0.6459654526106634,1,0,6018,0,0,250,280,-30,Intermediate
2701,32,0,0,50,5,about the same as today,295,0.1434108465909958,100,1,0,4,4,2,1,8.5,8,1,0,1,1,0,0,2,0,2,WhatsApp,0,head of household,1,1,1,4,4,Owned someone else,0,0,2,8,6,-1.5689871311187744,Earnings from trade,2,0,1,-0.4127283858996401,-0.32880223488740973,1,0,2008,1,0,50,50,0,Secondary/Matric
2656,45,0,0,50,1,about the same as today,300,0.2687225043773651,100,0,3,1,1,1,1,9.5,9,0,0,1,0,0,0,1,0,0,WhatsApp,0,head of household,1,1,1,1,1,Owned someone else,1,0,1,2,2,-0.06621140241622925,Other,4,0,1,-0.4127283858996401,-0.32880223488740973,0,0,2005,1,0,50,50,0,Primary (1-5)
2291,40,0,0,50,4,about the same as today,280,0.18414099514484408,80,0,4,2,2,1,1,3,13,1,0,1,1,0,0,1,1,0,WhatsApp,0,head of household,0,1,1,2,1,Owned,1,0,1,2,3,-0.06621140241622925,Daily labour,3,0,0,0.5258958465495415,0.6459654526106634,2,0,5004,0,1,270,250,20,Primary (1-5)
2291,38,0,0,40,4,about the same as today,250,0.05726873502135277,70,1,1,2,4,2,4,9,2,1,0,0,0,0,0,1,0,0,WhatsApp,0,head of household,0,1,1,4,5,Owned,1,0,2,3,5,-0.06621140241622925,Daily labour,3,0,1,-0.4127283858996401,0.6459654526106634,1,0,6005,0,0,300,325,-25,No formal education
2506,30,0,0,50,4,about the same as today,300,0.1627907007932663,90,0,0,1,2,1,1,9.5,7,1,0,0,0,0,1,1,1,0,WhatsApp,0,head of household,0,1,0,3,1,Owned,0,0,1,2,2,-0.8175992965698242,Private job with a salary,3,0,0,-0.4127283858996401,-0.32880223488740973,2,0,1009,1,1,150,150,0,University
3497,24,0,1,50,2,about the same as today,315,0.332158625125885,100,0,1,1,2,1,1,1,12,1,0,1,1,0,0,2,1,0,WhatsApp,0,head of household,0,1,0,3,2,Without rent,1,0,1,2,5,-0.06621140241622925,Daily labour,3,0,0,0.5258958465495415,0.6459654526106634,2,0,3004,1,1,350,350,0,No formal education
4268,43,0,0,50,5,about the same as today,296,0.25180619955062866,95,0,3,1,2,1,1,9,8.5,0,0,0,1,0,0,2,0,0,WhatsApp,0,head of household,0,1,0,3,2,Owned,1,0,1,2,2,-0.8175992965698242,Private job with self-employment,4,0,0,-1.3513526183488216,-0.32880223488740973,1,0,1001,0,1,350,350,0,University
2550,36,0,0,50,4,better than today,300,0.1627907007932663,85,0,4,4,4,1,1,2,15,1,0,0,0,1,0,1,0,2,WhatsApp,0,head of household,0,1,1,1,1,Owned,1,0,0,1,3,-0.8175992965698242,Private job with a salary,3,0,1,-1.3513526183488216,0.6459654526106634,1,0,5017,0,0,250,290,-40,Primary (1-5)
2690,50,0,0,50,4,about the same as today,290,0.12403100728988647,70,1,3,4,4,2,2,11,15,1,0,0,0,1,0,1,0,0,WhatsApp,0,head of household,0,1,1,1,1,Owned,1,0,0,2,3,-1.5689871311187744,Daily labour,3,0,0,-0.4127283858996401,0.6459654526106634,1,0,6016,0,1,345,230,115,No formal education
2621,45,0,0,50,4,about the same as today,295,0.1434108465909958,90,0,0,2,2,1,1,9,8,0,0,1,1,0,0,1,0,0,WhatsApp,0,head of household,0,1,0,3,1,Owned someone else,1,0,1,2,2,-0.06621140241622925,Daily labour,3,0,1,-0.4127283858996401,-0.32880223488740973,1,0,2010,1,0,250,250,0,Secondary/Matric
3496,50,0,1,50,4,worse than today,300,0.2687225043773651,90,0,0,2,1,2,2,10,10,1,0,0,0,0,0,1,0,0,WhatsApp,0,head of household,0,1,0,3,1,Owned,1,0,1,2,5,0.685176432132721,Daily labour,3,0,1,-2.2899768507980034,-1.303569922385483,1,0,3002,1,0,300,300,0,No formal education
2777,56,0,0,50,4,about the same as today,290,0.12403100728988647,80,1,2,4,5,2,4,10,13,1,0,0,0,0,0,1,1,0,WhatsApp,0,head of household,0,1,0,3,1,Owned,1,0,1,2,2,-0.06621140241622925,Earnings from trade,3,0,0,0.5258958465495415,-0.32880223488740973,1,1,6011,0,1,270,250,20,Middle (6-8)
2450,22,0,0,50,4,better than today,285,0.10465116053819656,90,0,3,1,2,2,1,10,8.5,1,0,0,0,0,0,1,1,0,WhatsApp,0,head of household,0,1,0,3,1,Owned,1,0,2,2,2,-0.8175992965698242,Private job with self-employment,3,0,1,-0.4127283858996401,-0.32880223488740973,2,0,1012,1,0,100,100,0,Secondary/Matric
2780,19,0,0,20,4,about the same as today,301,0.1666666716337204,90,1,1,4,4,2,2,8,10,1,0,0,0,0,1,1,1,1,WhatsApp,0,son of household head,0,1,1,1,3,Rented,1,0,1,3,2,-0.8175992965698242,Daily labour,4,0,0,0.5258958465495415,0.6459654526106634,1,1,6013,0,1,300,285,15,Middle (6-8)
2775,40,0,0,50,5,about the same as today,296,0.1472868174314499,100,1,3,4,2,4,2,11.5,9,0,0,1,1,1,0,2,0,1,Facebook,0,head of household,0,1,1,3,1,Owned,0,0,1,2,3,-0.8175992965698242,Private job with self-employment,2,0,1,-0.4127283858996401,-0.32880223488740973,2,1,2012,1,0,200,200,0,University
2635,36,0,0,40,5,worse than today,290,0.226431742310524,90,1,3,4,4,2,4,12,7,1,1,0,0,0,0,1,1,1,WhatsApp,0,head of household,0,1,1,3,1,Owned,1,1,1,2,2,0.685176432132721,Earnings from trade,3,0,0,1.464520078998723,0.6459654526106634,1,0,6009,0,1,322,290,32,Secondary/Matric
2748,32,0,0,40,4,worse than today,315,1.563580870628357,80,0,1,1,2,2,2,11,14,1,0,0,0,0,1,1,1,0,WhatsApp,0,son of household head,1,1,1,4,2,Owned,1,0,1,2,4,1.436564326286316,Daily labour,3,0,1,1.464520078998723,0.6459654526106634,2,0,4022,0,0,250,330,-80,Middle (6-8)
